title,content
Banksy artwork dedicated to victims stolen from Paris attack venue,"An artwork painted by British street artist Bansky as a tribute to the victims of 2015 Paris terrorist attacks has been stolen from Bataclan theatre, where 90 people were killed. The mural was painted on an emergency door of the theatre and depicted a veiled woman gazing mournfully. The theatre described the theft as ""profound indignation that drives us today."""
"Frenchmen Herbert, Mahut win Aus Open men's doubles title","The French pair of Pierre-Hugues Herbert and Nicolas Mahut beat 2017 champions Finn Henri Kontinen and Australian player John Peers 6-4, 7-6(7-1) to win their maiden Australian Open men's doubles title on Sunday. With the victory, Herbert and Mahut added the Australian Open title to their US Open, Wimbledon and French Open crowns to complete the career Grand Slam."
Want to get closer to Roger Federer's record: Djokovic,"After winning his 15th Grand Slam title on Sunday, Serbian tennis player Novak Djokovic said that he wants to get closer to Swiss tennis player Roger Federer's tally of 20 Grand Slam titles. ""I'm not trying to think too much [in] advance. I do want to definitely focus myself on continuing to improve my game,"" Djokovic added."
Djokovic has a 100% record in Australian Open's final,"Serbian tennis player Novak Djokovic went past former world number one Pete Sampras' tally of 14 Grand Slam titles after winning his seventh Australian Open title on Sunday. With his seventh win, Djokovic extended his 100% record in the final of the Australian Open. Djokovic holds a winning head-to-head record over both Rafael Nadal and Roger Federer."
Almost quit football after 2016 Copa America: Higuain,"Argentina's Gonzalo Higuain revealed that he almost quit football after Argentina's loss in the Copa America 2016 final. Higuain said he wanted to quit football to look after his ailing mother. ""Her reply was that when I played football it made her happy. She told me that she would not allow me to give up something I loved,"" Higuain said."
Not the way I wanted it in the final: Saina on Marin's injury,"Indian shuttler Saina Nehwal wished Carolina Marin a speedy recovery after Marin got injured midway during their title match at the Indonesia Masters on Sunday. ""Not the way I wanted it in the finals of #indonesiamasterssuper500... injuries are worst for players and it was very unfortunate to see @CarolinaMarin the best player in women's badminton to face it,"" tweeted Saina."
Pakistan beat South Africa to level series 2-2,"Pakistan beat South Africa by eight wickets to level the ODI series 2-2 on Sunday. Pakistan completed their chase with 111 balls to spare. This is the first time Pakistan have beaten South Africa at the Wanderers, while it was the first loss for South Africa in a 'Pink' ODI. Usman Shinwari was named Man of the Match."
WhatsApp testing additional 'Media' menu features: Report,"According to WABetaInfo, WhatsApp is testing new features in its 'Media' menu including 'Show in chat'. On opening the 'Media' menu, Android users will be able to trace where the image was shared in the chat via the option. Individual options 'Use as wallpaper', 'Set as my profile picture' and 'Set as group icon' now reportedly under 'Set As...' option."
Shivpal Yadav to contest 2019 LS polls from UP's Firozabad,"Pragatisheel Samajwadi Party (Lohia) chief Shivpal Yadav on Saturday announced that he will contest the 2019 Lok Sabha elections from Uttar Pradesh's Firozabad constituency. Shivpal will fight against his nephew Akshay Yadav, the incumbent MP. Shivpal further said that in 2019, no government can be formed without his party's help and in 2022, PSP(L) will form the government in Lucknow."
PM Modi inaugurates BPCL's Kochi refinery expansion complex,"PM Modi on Sunday inaugurated an integrated Bharat Petroleum (BPCL) refinery expansion complex in Kerala's Kochi and dedicated the ₹16,504-crore investment to the nation. The complex would transform Kochi Refinery as the largest state-run refinery in the country, he said. He also laid the foundation stone for a petrochemical complex at the refinery and a skill development institute at Ettumanoor."
Over 5 lakh villages declared open defecation free: PM Modi,"PM Narendra Modi on Sunday said that over 5 lakh villages in India have been declared open defecation free (ODF) and 98% of rural India is under sanitation coverage. He added that 9 crore households have been provided with toilets. ""India is moving towards liberation from open defecation much prior to the target of October 2, 2019,"" he further said."
"Van headed to a funeral falls in Uttarakhand gorge, 8 dead","As many as eight people died and ten were injured when a van fell into a gorge in Uttarakhand's Champawat on Sunday. The deceased were taking the body of a woman for cremation when the accident happened, a police official said. The injured were rushed to nearby hospital from where three critically injured were airlifted to a hospital in Haldwani."
